Date,Indonesia,India,Korea,Thailand,South_Africa,Brazil,Philippines
1/1/2008,0,36.1,0,0,0,0,0
2/1/2008,5.504,-62,77.25,-21.92,37.36,-46.19426572,0.4131
3/1/2008,-10.62,183.8,-343.4,-69.15,180.08,-13.60717336,-11.541
4/1/2008,76.671,129.4,-108.21,-86.57,89.28,-113.9453614,-11.0456
7/1/2008,35.707,-20.6,-526.56,-135.63,46.9,-152.8713712,-27.2736
8/1/2008,54.064,268.2,-416.48,-73.11,-70.68,-19.57663818,-26.3392
9/1/2008,53.702,69.9,-384.26,-42.65,-3.26,-394.4298072,-15.452
10/1/2008,0,-160.5,-94.88,-45.4,121.04,-145.6156378,-5.7648
11/1/2008,0,28.9,-149.71,-35.72,-92.13,-177.0762035,3.19
14/1/2008,9.264,44.4,-587.88,-63.93,114.63,31.02584721,-7.6403
15/1/2008,-22.909,57.5,-417.44,-73.1,170,-276.990141,-10.4408
16/1/2008,-81.21,-580.5,-1165.77,-81.06,-137.12,-600.4884829,-17.0826
17/1/2008,-32.899,-556.4,-782.57,-69.83,-154.15,-95.46739807,-36.0185
18/1/2008,-14.637,-345.3,-1056.41,-42.57,-145.96,-243.9140424,-23.7597
21/1/2008,-123.433,-616,-439.2,-64.96,20.71,-297.642783,-24.6498
22/1/2008,4.056,-567.9,-930.55,-146.33,-208.99,-92.13339247,-12.0655
23/1/2008,-38.826,-631.9,-603.14,-57.67,-66.77,-225.4241305,-29.2321
24/1/2008,53.078,-342.7,-422.17,-66.9,62.68,239.116841,-20.4999
25/1/2008,29.153,169.8,-107.38,9.47,-554.18,0,-4.5077
28/1/2008,32.445,-383.4,-324.07,-19.02,-483.1,-50.16757904,-11.3482
29/1/2008,43.676,-72.4,-501.58,18.15,-7.54,12.65288884,-5.8563
30/1/2008,21.388,-155.1,-140.1,-3.96,-198.98,-74.54376896,2.0094
31/1/2008,-2.371,-861.5,-53.35,114.44,-17.04,72.73936019,14.721
1/2/2008,44.137,262.8,62.78,249.14,130.87,227.6139164,3.6059
4/2/2008,75.414,967.7,335.62,206.42,9.5,0,-0.2175
5/2/2008,13.844,146.3,-177.66,82.62,257.01,0,-7.8926
6/2/2008,-69.684,-133.4,0,-2.29,-8.31,-135.197695,-20.1427
7/2/2008,0,-42.7,0,-7.35,-55.69,11.05033195,-4.7873
8/2/2008,0,-464.5,0,6.53,-210.02,67.90858177,-1.8616
11/2/2008,-25.337,-457.5,-557.95,26.11,9.66,66.23060749,-3.8453
12/2/2008,-33.127,-29,-473.85,51.22,-106.99,249.9399107,-6.0794
13/2/2008,31.995,88,-274.33,120.82,-106.38,-382.1541106,4.4946
14/2/2008,78.099,-298.4,-225.33,64.62,-85.27,113.6054967,12.4291
15/2/2008,13.49,289.3,-84.92,-13.06,-108.34,-136.6516508,0.4443
18/2/2008,61.152,-29.2,-164.48,7.53,-70.3,-40.07015526,-1.5887
19/2/2008,47.691,397.6,-210.46,49.2,30.02,208.3468975,-1.5427
20/2/2008,35.805,14.1,61.75,8.23,31.46,88.07978325,-1.0287
21/2/2008,11.873,71.3,-273.52,0,108.84,-34.94152047,-0.5215
22/2/2008,8.291,-113.5,-263.61,-6.27,82.94,-143.790796,-9.3008
25/2/2008,42.382,184.4,-275.24,41.91,-34.95,185.7257592,0
26/2/2008,-25.105,21.4,182.9,50.53,-92.63,42.93103448,2.4698
27/2/2008,-6.655,99.8,44.38,-16.95,50.74,294.3085393,5.371
28/2/2008,-34.206,-133,165.93,35.15,79.31,177.0147736,-3.5994
29/2/2008,-54.318,-61.2,-59.59,1.24,17.03,-353.9604255,3.9065
3/3/2008,-94.32,-169.8,-296.01,37.99,51.56,2.309659767,-11.6874
4/3/2008,-100.699,-117.4,-397.15,-84.4,-54.01,-304.930049,0.4706
5/3/2008,-26.038,-32.2,-364.91,-80.69,114.37,-124.7909679,-5.0997
6/3/2008,18.491,0,-148.5,8.85,55.4,-79.92821249,1.6286
7/3/2008,0,273.1,-369.91,-32.21,107.53,-119.4280454,-6.8634
10/3/2008,-152.367,-279.7,-284.45,-53.82,-107.29,-326.6613701,-19.7848
11/3/2008,-118.629,-42.6,-473.15,0.53,-102.13,-133.0761967,-19.3868
12/3/2008,8.208,35.6,-125.59,42.25,-51,-120.012506,-11.4511
13/3/2008,-12.217,-42.7,-803.19,-29.78,11.92,-12.30800967,-13.4234
14/3/2008,105.578,-31.8,-300.29,-12.67,-76.82,-34.0305731,-5.5921
17/3/2008,-25.55,-155.1,-664.27,-32.36,87.7,-560.1096033,-3.2641
18/3/2008,-14.659,-169.3,-460.56,-99.1,7.19,-128.8384403,-4.7335
19/3/2008,11.699,132.8,516.2,6.91,2.67,-308.516519,8.3355
20/3/2008,0,0,-114.9,-95.86,-52.29,-203.7887486,0
21/3/2008,0,0,63.97,-11.73,0,0,0
24/3/2008,-11.269,80.3,44.5,1.64,0,94.90375223,-18.5829
25/3/2008,-2.184,335.3,439.91,35.88,-45,145.9548942,-5.1653
26/3/2008,46.973,138.9,88.62,6.85,82.66,395.4171488,3.5362
27/3/2008,13.046,107.3,-237,31.78,-16.41,148.5554466,-0.6393
28/3/2008,40.445,-28.5,-954.16,11.07,-78.2,183.8539995,-9.9328
31/3/2008,18.171,2.7,214.96,28.11,88.24,331.4908218,20.3176
1/4/2008,-62.423,-297.3,21.29,2.72,85.63,281.473474,3.0675
2/4/2008,-70.342,-5,284.11,13.87,38.91,182.2143726,3.3805
3/4/2008,80.444,-135.9,-1.12,-8.24,-52.62,197.2246058,12.2491
4/4/2008,-38.808,341.4,95.78,-38.64,24.84,29.18483025,5.0473
7/4/2008,-11.298,94.3,-142.75,0,-14.67,335.0406217,0
8/4/2008,63.339,37.2,78.25,36.87,16.3,127.6664318,16.4045
9/4/2008,39.712,-43,0,-7.45,23.86,19.38900083,-5.3116
10/4/2008,4.926,-78.8,-445.53,-7.95,13.29,10.86692829,-14.6745
11/4/2008,50.113,-7.8,-527.88,-17.1,90.29,-165.492532,-11.941
14/4/2008,5.953,0,-119.23,0,-27.87,312.363162,2.563
15/4/2008,43.699,20.2,-373.93,0,45.33,521.259365,-8.4226
16/4/2008,-8.791,1,-253.92,36.29,128.71,418.5181192,-3.3863
17/4/2008,55.862,1,145.4,87.07,65.29,413.9839604,-10.8072
18/4/2008,-22.899,174.9,-283.27,-15.69,59.54,264.8852538,-12.7745
21/4/2008,7.498,69.5,338.99,30.27,165.72,0,-14.8871
22/4/2008,-27.905,98.2,49.92,-6.39,-62.08,690.7253636,-20.8839
23/4/2008,-13.589,-65.9,-201.88,-31.47,6.15,156.2987091,-11.4388
24/4/2008,20.992,-131.4,130.22,-12.17,-112.14,-130.9890307,-17.8381
25/4/2008,1.604,86.8,111.12,-18.22,92.8,-98.72212899,-14.0547
28/4/2008,23.147,20.2,276.78,-10.59,0,183.3937947,4.0096
29/4/2008,17.802,85.9,80.31,-0.45,-12.11,-297.0036355,-4.0168
30/4/2008,-0.635,-20.9,-321.68,-35.03,-108.38,117.676073,2.9839
1/5/2008,0,0,0,0,0,0,0
2/5/2008,29.594,177.1,155.3,12.1,0,290.9350382,-3.7315
5/5/2008,60.146,-75.6,0,0,88.67,318.7395921,3.4253
6/5/2008,42.278,-179.1,-40.33,36.39,290.78,297.135633,3.8679
7/5/2008,72.291,78.9,-72.95,34.18,-2.16,303.6434247,-5.909
8/5/2008,19.578,-96.3,-327.86,10.9,79.25,100.2397827,-9.5722
9/5/2008,-1.185,-89.5,117.74,-11.94,-56.53,-19.16907642,-7.7423
12/5/2008,3.839,-30.1,0,-33.92,-70.6,-336.0051377,91.1413
13/5/2008,44.732,44.2,54.62,-20.55,-58.18,18.06622836,3.3977
