Date,Indonesia.1,India,Thailand,South_Africa,Hungary,Mexico,Poland
2/6/2010,82.16216216,123.51,0,112.297,1.844004245,-33.09788329,-140.7415172
3/6/2010,120.7440444,459.08,-6.02,10.252,13.96454537,-366.9175809,0.103290542
4/6/2010,-112.078346,117.31,32.72,20.089,-38.38086556,16.16612679,-87.38083651
7/6/2010,-122.9640815,53.78,26.82,165.266,-14.78289063,746.6302558,482.7721581
8/6/2010,51.85825411,82.81,58.57,18.459,-137.0515822,10.4482118,-29.4581738
9/6/2010,-52.95579812,-17.82,47.78,82.707,64.87212298,-34.25143636,144.5128116
10/6/2010,246.6731581,-62.91,8.71,188.85,-36.67782713,-155.906006,32.97916543
11/6/2010,147.826087,-67.7,-30.28,99.226,-46.98654689,107.5772066,-26.74576471
14/6/2010,0,-112.56,0,67.075,-9.50353434,-66.23628808,-30.97674419
15/6/2010,224.5231608,54.54,22.94,171.937,12.32777173,-25.59847325,90.08382433
16/6/2010,0,-5.4,19.34,0,-128.5645908,119.1920638,-61.43436667
17/6/2010,74.25202009,42.78,103.27,50.988,10.07872734,-476.2384457,232.2866002
18/6/2010,184.5545425,28.8,22.29,146.594,26.79455029,-15.98211969,93.74691966
21/6/2010,255.1303383,51.23,180.39,-3.604,-29.62542343,-15.77577578,150.5579816
22/6/2010,199.5786673,65.17,23.25,147.641,0.418428471,169.4198741,130.4896075
23/6/2010,94.07858329,56.62,174.73,131.523,92.46019213,104.6684602,7.535512009
24/6/2010,178.7882132,22.45,0,-9.638,-105.5663802,21.30301119,80.84825975
25/6/2010,318.9845475,-144.22,-10.07,-391.339,81.46898092,-120.4448131,-4.983179142
28/6/2010,45.4092369,-814.69,31.19,-22.347,-27.7654046,43.11163615,-126.8399291
29/6/2010,20.96204766,31.63,0,15.131,-2.587784635,151.9369711,65.80900689
30/6/2010,34.16354419,0,8.92,-203.676,-134.533177,29.77263909,-535.0174113
1/7/2010,22.04828575,-84.24,0,58.414,-7.527263352,218.6477607,135.6556267
2/7/2010,36.41982121,209.57,38.3,92.811,11.68004567,834.6819751,99.34359781
6/7/2010,66.22516556,642.98,18.35,88.786,4.773357471,254.4812974,273.4395628
7/7/2010,105.8434399,346.2,36.62,-4.197,20.50332672,36.95308546,19.20306656
8/7/2010,222.83508,67.8,34.61,183.106,17.81734218,-2.917357144,93.1882569
9/7/2010,86.20689655,112.18,-1.04,-74.634,8.558827521,78.46051447,404.3868364
12/7/2010,0,48.64,23.51,277.929,-2.992871234,61.60996046,340.3076542
13/7/2010,0,-18.22,112.8,385.065,21.49901035,-61.91120907,70.64564565
14/7/2010,0,305.17,20.59,171.1,-10.30219326,65.05549054,48.75856433
15/7/2010,0,-24.08,-5.07,167.431,2.276793907,-465.7279712,69.9513498
16/7/2010,143.7735014,152.89,38.03,392.818,26.76172271,-55.71157935,388.9414196
19/7/2010,48.54368932,-110.06,119.85,-102.205,10.64376317,104.8487669,-141.5898112
20/7/2010,25.42841349,-139.34,10.31,207.743,-17.45121132,61.00475666,64.37678163
21/7/2010,35.36302354,124.29,90.58,-3.722,57.35607418,-74.9201042,-76.47880764
22/7/2010,5.524861878,28.33,-0.8,-7.795,-26.36439568,-120.253731,311.7764093
23/7/2010,34.2920354,22.04,21.87,580.681,21.27032539,-127.5738512,250.073132
26/7/2010,23.25581395,-124.33,0,-38.204,7.588964774,-326.106383,-297.5779888
27/7/2010,-5.546311703,5.64,42.07,-51.458,-15.0850171,-132.8915259,195.6229721
28/7/2010,44.41483455,-118.72,15.03,-79.731,-123.8641389,341.9304745,8.853980721
29/7/2010,194.7257149,227.91,67.15,203.086,64.6332089,169.9112467,95.7270533
30/7/2010,36.87562856,-78,163.01,64.12,25.89548061,250.7147512,170.7608625
2/8/2010,0,342.22,9.72,-29.831,-55.16747719,406.6951833,-77.60195975
3/8/2010,256.1234761,-24.13,133,80.177,19.07205467,417.0807959,-65.22155768
4/8/2010,0,25.74,21.54,199.717,148.9190608,296.9736853,-7.023046952
5/8/2010,308.7939136,189.1,119.85,133.264,1.979295484,838.6798533,-35.21675919
6/8/2010,-50.33557047,-12.05,102.26,-230.223,-8.768649313,118.1761777,1002.530887
9/8/2010,0,50.92,99.87,0,73.22021403,178.2245538,43.65516091
10/8/2010,163.07383,-21.84,90.11,36.776,102.42484,-446.0358826,285.3331564
11/8/2010,0,64.45,46.11,-16.757,-137.4862228,194.3392668,-70.82022977
12/8/2010,-17.76790672,-129.32,0,69.411,149.2035543,70.23944104,12.59615385
13/8/2010,28.95967922,87.25,0,19.573,-100.887265,656.2825331,152.3292123
16/8/2010,-130.2895323,39.06,100.39,109.898,93.98368575,401.7460975,-117.6267912
17/8/2010,0,160.37,16.75,280.158,-35.54656151,108.5688212,-17.89191662
18/8/2010,33.44854499,0,86.18,-181.912,37.91970803,165.2753175,23.34954149
19/8/2010,-1.115573405,11.89,89.01,-22.902,-50.02787795,-1247.941026,247.6067438
20/8/2010,-12.25899922,-31.55,52.36,171.924,0,-214.94643,251.8810932
23/8/2010,33.44481605,0,0,-44.798,67.03324137,356.4249156,314.5458555
24/8/2010,-36.74832962,41.18,82.13,548.204,-105.739695,-80.52475209,504.0042881
25/8/2010,4.456327986,-37.47,23.98,28.377,-127.1738466,212.5887528,208.6942756
26/8/2010,177.9359431,-57.47,34.31,294.966,60.94459896,-682.7404812,173.2309746
27/8/2010,-23.29192547,-115.41,161.21,-6.705,52.36968014,37.3625024,921.0069165
30/8/2010,0,144.05,148.66,-16.755,-56.9688173,10.41801525,-80.78702237
31/8/2010,-88.44665561,-291.63,145.85,320.173,-1.580283431,-66.53920994,-76.78814552
1/9/2010,0,166.21,200.85,207.515,113.3692376,195.490331,7.304639608
2/9/2010,0,176.52,374.76,82.789,-45.67130882,590.2470602,-129.8764471
3/9/2010,-430.9195913,233.8,113.11,107.215,-14.11089055,292.1303301,567.4753626
7/9/2010,36.58942233,84.57,118.91,527.327,-8.085541257,196.489748,-155.8479532
8/9/2010,282.1281795,59.83,268.18,107.866,43.0046971,311.0458329,-154.5527878
9/9/2010,0,76.25,120.01,-40.542,33.88987527,-953.6343351,129.2937426
